_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,16-02-2019 05:00,03-01-2016 05:00,20-01-2019 05:00,8,3,5,51,1,80,200,35,15,6,46,Portugal,PT,41.1413,-8.61308,51399391,TRUE,Portugal,Ana&Gonçalo,100,3,28,239,47,74
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,11-02-2019 05:00,03-01-2016 05:00,07-02-2019 05:00,4,1,2,0,2,317,0,187,0,1,0,Brazil,BR,-22.96625355,-43.23074991,1282196,FALSE,Brazil,Ynaie,0,1,0,0,0,0
1001265,Ocean View Waikiki Marina w/prkg,Individual Apartments,Entire home/apt,Real Bed,3,365,Strict,06-03-2019 05:00,24-05-2013 04:00,07-02-2019 05:00,2,1,1,96,1,115,0,100,0,1,38,United States,US,21.28634,-157.83919,5448114,FALSE,United States,David,98,18,16,343,46,76
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,06-03-2019 05:00,31-01-2016 05:00,31-01-2016 05:00,1,1,1,1,1,40,0,0,0,1,56,United States,US,40.69791,-73.93615,11275734,TRUE,United States,Josh,0,1,0,0,0,0
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,11-02-2019 05:00,31-01-2016 05:00,12-08-2018 04:00,2,1,1,0,2,701,1000,250,0,1,0,Brazil,BR,-22.97195099,-43.20504708,51496939,FALSE,Brazil,Livia,0,1,28,363,58,88
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,Strict,07-03-2019 05:00,29-04-2013 04:00,12-08-2018 04:00,2,1,1,70,2,135,0,135,0,1,53,United States,US,40.79962,-73.96523,454250,TRUE,United States,Greta,100,3,0,93,0,0
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,Strict,11-02-2019 05:00,18-01-2016 05:00,28-01-2019 05:00,4,2,3,70,2,119,600,150,40,3,58,Brazil,BR,-22.98433936,-43.19084919,51530266,TRUE,Brazil,Ana Valéria,100,2,7,118,19,33
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,18-02-2019 05:00,02-04-2016 04:00,02-04-2016 04:00,6,2,3,1,1,527,0,211,211,1,60,Turkey,TR,40.98585,29.03133,1241644,TRUE,Turkey,Zeynep,0,2,27,362,57,87
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,Strict,11-02-2019 05:00,10-02-2016 05:00,10-02-2016 05:00,8,1,8,1,4,250,0,0,40,4,28,Brazil,BR,-22.92638235,-43.18015675,51326285,TRUE,Brazil,Beatriz,80,5,10,296,10,21
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,11-03-2019 04:00,10-02-2016 05:00,18-02-2018 05:00,4,1,2,0,2,50,0,0,31,1,0,Canada,CA,45.51889,-73.59111,51612949,FALSE,Canada,Konstantin,0,1,0,0,0,0
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,Strict,07-03-2019 05:00,03-01-2016 05:00,18-02-2018 05:00,4,0,2,5,2,205,0,0,0,1,43,United States,US,40.72778,-73.94472,47554473,FALSE,United States,Mae,100,13,30,243,31,31
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,11-03-2019 04:00,03-01-2016 05:00,27-03-2018 04:00,2,1,1,0,2,43,0,0,12,1,0,Canada,CA,45.54548,-73.54949,7140229,FALSE,Canada,Caro,100,1,0,32,0,0
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,11-03-2019 04:00,19-12-2015 05:00,27-03-2018 04:00,3,2,2,3,1,699,0,0,0,1,58,Hong Kong,HK,22.28158,114.15027,51624384,FALSE,Hong Kong,Giovanni,0,1,0,0,0,0
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,11-03-2019 04:00,19-12-2015 05:00,09-02-2019 05:00,6,3,3,0,1,140,0,0,0,1,0,Canada,CA,45.52233,-73.57383,9036477,FALSE,Canada,Margaux,0,2,0,0,0,0
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,Strict,11-02-2019 05:00,19-12-2015 05:00,09-02-2019 05:00,5,2,2,0,2,858,4476,112,75,1,0,Brazil,BR,-23.00035793,-43.43111231,51670240,FALSE,Brazil,Jonathan,0,1,0,0,0,0
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,Strict,11-03-2019 04:00,19-12-2015 05:00,09-02-2019 05:00,2,1,1,0,2,361,0,0,130,2,0,Hong Kong,HK,22.30469,114.17158,51289938,FALSE,Hong Kong,Ken,90,6,30,365,60,90
